symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
GTCO,baseline,32,1.25889e+06,-21.1436,22.4337,7.03548,1060,6.39022e+06,3.08939e+06,3.30083e+06,6240,2873,2336,1
GTCO,avellaneda_stoikov,32,2.38609e+06,-0.871,5.9175,1.57598,1774,1.06655e+07,5.3284e+06,5.33711e+06,6240,3102,2336,1
GTCO,baseline,33,986593,5.2282,12.8666,4.90541,1046,6.46331e+06,3.2578e+06,3.20551e+06,6240,2861,2323,1
GTCO,avellaneda_stoikov,33,2.57403e+06,-7.9747,10.0606,2.52946,1788,1.11112e+07,5.51573e+06,5.59548e+06,6240,3109,2323,1
GTCO,baseline,34,1.24043e+06,-11.9421,13.9345,6.96771,1108,6.72183e+06,3.30120e+06,3.42063e+06,6240,2935,2373,1
GTCO,avellaneda_stoikov,34,2.47318e+06,12.6631,12.6631,2.50422,1774,1.08178e+07,5.47223e+06,5.3456e+06,6240,3161,2373,1
GTCO,baseline,35,1.26563e+06,0.3821,9.0245,3.37725,1023,6.39303e+06,3.19842e+06,3.1946e+06,6240,2760,2229,1
GTCO,avellaneda_stoikov,35,2.40354e+06,-4.0615,9.4715,1.99657,1687,1.04789e+07,5.21915e+06,5.25977e+06,6240,2989,2229,1
GTCO,baseline,36,1.072e+06,18.5395,25.8276,5.93782,1072,6.46358e+06,3.32449e+06,3.13909e+06,6240,2826,2276,1
GTCO,avellaneda_stoikov,36,2.29851e+06,6.4871,9.5669,2.19094,1714,1.04442e+07,5.25456e+06,5.18969e+06,6240,3040,2276,1
GTCO,baseline,37,1.21292e+06,9.0491,20.6903,4.58844,1061,6.50339e+06,3.29694e+06,3.20645e+06,6240,2832,2308,1
GTCO,avellaneda_stoikov,37,2.65188e+06,26.234,27.2782,4.29672,1775,1.07154e+07,5.48887e+06,5.22653e+06,6240,3048,2308,1
GTCO,baseline,38,906814,8.5203,16.7828,5.39382,1095,6.39773e+06,3.24146e+06,3.15626e+06,6240,2850,2305,1
GTCO,avellaneda_stoikov,38,2.37092e+06,2.2451,6.4965,1.64672,1760,1.05788e+07,5.3006e+06,5.27815e+06,6240,3088,2305,1
GTCO,baseline,39,1.42046e+06,10.9903,13.731,3.33575,1055,6.53399e+06,3.32195e+06,3.21204e+06,6240,2773,2241,1
GTCO,avellaneda_stoikov,39,2.47381e+06,0.2043,7.4648,1.78738,1761,1.07965e+07,5.39927e+06,5.39723e+06,6240,3007,2241,1
GTCO,baseline,40,1.12302e+06,19.1891,26.9931,7.34257,1072,6.47652e+06,3.3342e+06,3.14231e+06,6240,2818,2252,1
GTCO,avellaneda_stoikov,40,2.52428e+06,-8.6645,13.9248,2.5577,1754,1.07231e+07,5.31824e+06,5.40488e+06,6240,3049,2252,1
