symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
GTCO,baseline,37,1.08833e+06,21.046,22.046,5.78485,1142,7.07906e+06,3.64476e+06,3.4343e+06,6240,2955,2378,1
GTCO,avellaneda_stoikov,37,2.50603e+06,8.8207,16.4032,3.26123,1829,1.11486e+07,5.61838e+06,5.53017e+06,6240,3165,2378,1
GTCO,baseline,38,823405,-16.0834,19.2697,6.63101,1171,7.01168e+06,3.42542e+06,3.58626e+06,6240,3035,2451,1
GTCO,avellaneda_stoikov,38,2.58407e+06,9.3281,16.4594,3.1852,1835,1.1064e+07,5.57863e+06,5.48535e+06,6240,3261,2451,1
GTCO,baseline,39,851699,-0.998,18.9442,6.8081,1082,6.71783e+06,3.35393e+06,3.36391e+06,6240,2898,2335,1
GTCO,avellaneda_stoikov,39,2.32236e+06,15.7752,23.5996,3.94815,1743,1.08614e+07,5.50958e+06,5.35183e+06,6240,3135,2335,1
GTCO,baseline,40,684333,1.0242,13.4067,4.00988,1110,6.88441e+06,3.44733e+06,3.43709e+06,6240,2861,2275,1
GTCO,avellaneda_stoikov,40,2.48648e+06,-10.6054,14.3097,2.60676,1729,1.06864e+07,5.29015e+06,5.3962e+06,6240,3088,2275,1
GTCO,baseline,41,-399236,14.53,31.2221,9.43086,1067,6.60575e+06,3.37552e+06,3.23022e+06,6240,2804,2254,1
GTCO,avellaneda_stoikov,41,2.28886e+06,-1.8219,9.4471,2.25488,1655,1.01879e+07,5.08482e+06,5.10304e+06,6240,2990,2254,1
GTCO,baseline,42,541155,8.287,17.3198,6.76092,1151,7.10823e+06,3.59555e+06,3.51268e+06,6240,3025,2429,1
GTCO,avellaneda_stoikov,42,2.44829e+06,-9.1222,11.3482,2.52385,1826,1.12651e+07,5.58693e+06,5.67815e+06,6240,3276,2429,1
GTCO,baseline,43,544216,15.0872,20.5057,4.88506,1089,6.29896e+06,3.22492e+06,3.07404e+06,6240,2853,2334,1
GTCO,avellaneda_stoikov,43,2.388e+06,2.4765,17.4302,3.26894,1750,1.01747e+07,5.09972e+06,5.07496e+06,6240,3064,2334,1
GTCO,baseline,44,130566,-26.8871,28.9595,8.2903,1069,6.46336e+06,3.09724e+06,3.36611e+06,6240,2719,2197,1
GTCO,avellaneda_stoikov,44,2.05518e+06,7.1354,7.2243,1.59662,1647,9.89117e+06,4.98126e+06,4.90991e+06,6240,2913,2197,1
GTCO,baseline,45,1.0076e+06,-4.8126,8.9585,2.52925,1087,6.63368e+06,3.29278e+06,3.3409e+06,6240,2849,2316,1
GTCO,avellaneda_stoikov,45,2.18482e+06,3.793,9.5662,1.90887,1722,1.04943e+07,5.26613e+06,5.2282e+06,6240,3068,2316,1
GTCO,baseline,46,538717,17.0767,25.0243,7.6105,1119,6.69804e+06,3.4344e+06,3.26364e+06,6240,2911,2348,1
GTCO,avellaneda_stoikov,46,2.43986e+06,9.0912,10.3268,2.11947,1782,1.07385e+07,5.4147e+06,5.32379e+06,6240,3136,2348,1
GTCO,baseline,47,909263,23.1156,33.4719,8.30273,1145,6.85814e+06,3.54465e+06,3.31349e+06,6240,2928,2362,1
GTCO,avellaneda_stoikov,47,2.3193e+06,2.1058,7.0621,1.49694,1817,1.08584e+07,5.43973e+06,5.41867e+06,6240,3139,2362,1
GTCO,baseline,48,761853,11.4118,11.8777,3.64573,1140,6.92274e+06,3.51843e+06,3.40431e+06,6240,3001,2429,1
GTCO,avellaneda_stoikov,48,2.37638e+06,10.1721,12.2511,2.60795,1841,1.11226e+07,5.61214e+06,5.51042e+06,6240,3227,2429,1
GTCO,baseline,49,1.65249e+06,24.7793,33.7633,7.67564,1172,7.0423e+06,3.64504e+06,3.39725e+06,6240,3036,2449,1
GTCO,avellaneda_stoikov,49,2.33036e+06,3.7631,7.9586,1.77089,1841,1.09572e+07,5.49743e+06,5.4598e+06,6240,3258,2449,1
GTCO,baseline,50,913730,1.5838,9.2445,3.13301,1133,6.98739e+06,3.50161e+06,3.48578e+06,6240,2991,2406,1
GTCO,avellaneda_stoikov,50,2.3217e+06,16.6789,19.3195,3.13448,1778,1.08448e+07,5.50578e+06,5.33899e+06,6240,3216,2406,1
OANDO,baseline,1,121822,-8.1661,11.9792,3.11738,318,1.98436e+06,951351,1.03301e+06,6240,773,629,1
OANDO,avellaneda_stoikov,1,270806,-1.199,7.3949,1.81182,504,3.15371e+06,1.57086e+06,1.58285e+06,6240,835,629,1
OANDO,baseline,2,30675.6,14.2358,14.6561,4.55473,329,2.01473e+06,1.07854e+06,936187,6240,803,661,1
OANDO,avellaneda_stoikov,2,268288,2.8696,5.0091,1.39796,514,3.22437e+06,1.62653e+06,1.59784e+06,6240,873,661,1
OANDO,baseline,3,44630.7,5.0905,10.3339,2.29088,312,1.99103e+06,1.02097e+06,970063,6240,768,628,1
OANDO,avellaneda_stoikov,3,279541,9.6857,12.1588,2.73499,496,3.19520e+06,1.64603e+06,1.54917e+06,6240,835,628,1
OANDO,baseline,4,101665,-3.0077,6.9409,3.52792,340,2.05584e+06,1.01288e+06,1.04296e+06,6240,846,693,1
OANDO,avellaneda_stoikov,4,322861,-5.4025,11.2052,2.73151,548,3.42672e+06,1.68635e+06,1.74037e+06,6240,921,693,1
OANDO,baseline,5,110171,-2.0124,8.9694,2.21422,306,1.98146e+06,980670,1.00079e+06,6240,767,630,1
OANDO,avellaneda_stoikov,5,272389,-2.6061,9.718,2.33023,496,3.03923e+06,1.50658e+06,1.53264e+06,6240,810,630,1
OANDO,baseline,6,36263.7,-15.5768,18.1987,4.84525,281,1.76322e+06,803728,959496,6240,731,612,1
OANDO,avellaneda_stoikov,6,206587,-4.6656,9.2036,2.34778,464,2.90818e+06,1.43076e+06,1.47742e+06,6240,796,612,1
OANDO,baseline,7,48780.5,-3.0003,4.7481,1.29494,300,1.82145e+06,895723,925726,6240,747,610,1
OANDO,avellaneda_stoikov,7,211385,-1.2539,3.5932,1.13312,475,2.94583e+06,1.46665e+06,1.47919e+06,6240,805,610,1
OANDO,baseline,8,128371,1.4167,5.1972,1.81618,330,2.07308e+06,1.04362e+06,1.02946e+06,6240,822,675,1
OANDO,avellaneda_stoikov,8,219707,-8.8555,12.4651,3.12886,509,3.17182e+06,1.54163e+06,1.63018e+06,6240,881,675,1
OANDO,baseline,9,127926,0.8493,6.2969,2.27233,317,1.93644e+06,972464,963971,6240,765,620,1
